Task,Model,Trial,ER,GD,IGD,STE,HV,HAR
150,NSGA-II,0,0.1048951048951049,61.5845751142839,72519.60887174141,0.6189412851569194,7303238202168.88,0.5442838674226097
150,NSGA-II,1,0.15384615384615385,56.01034503401203,72520.02787648079,0.11335842294820458,7864304700064.059,0.5860981195258695
150,NSGA-II,2,0.23776223776223776,42.518248088583675,72518.38998605375,0.21189811654710525,7681662150596.245,0.5724864324319521
150,NSGA-II,3,0.13986013986013987,59.02535269371909,72518.42647758579,0.5189928338164992,7972239621647.859,0.5941421179445628
150,NSGA-II,4,0.11188811188811189,64.55833553458702,72516.31476512145,2.424899059623656,7775134335898.329,0.5794525755460508
150,NSGA-II,5,0.16783216783216784,52.442078992131634,72519.92302959456,0.24220289066248535,7736163736051.395,0.5765482380161356
150,NSGA-II,6,0.1258741258741259,59.062103605035695,72519.39356038217,0.176669869390879,7685606644804.428,0.5727804012856611
150,NSGA-II,7,0.15384615384615385,52.12584970331006,72518.38482219218,0.25125693905977614,7484233611460.039,0.557772799130393
150,NSGA-II,8,0.21678321678321677,44.439300986864545,72517.64223508748,0.27084584628717395,7598200678573.068,0.5662663514875749
150,NSGA-II,9,0.1888111888111888,48.84322987249029,72518.51406572512,0.25460313638211285,7738454219346.32,0.5767189394326195
150,NSGA-III,0,0.1888111888111888,44.584590808157635,72517.46328263092,0.21623718396139788,7303174169336.832,0.5442790952877697
150,NSGA-III,1,0.1888111888111888,49.81059672178008,72517.59496222356,0.2993632813557384,8003546222275.65,0.5964752853962952
150,NSGA-III,2,0.1958041958041958,44.584002753434845,72518.10628508002,0.22457282162649103,7844796178130.419,0.5846442201086786
150,NSGA-III,3,0.1888111888111888,49.25913581931393,72518.76911792728,0.1540072268989614,7885645697774.612,0.5876885867196011
150,NSGA-III,4,0.13286713286713286,52.665714272731826,72518.87821377745,0.5976099271470556,7070983886991.918,0.5269747952835461
150,NSGA-III,5,0.16083916083916083,47.960811367800815,72516.07001337575,0.17838225096032817,7132907865443.323,0.5315897649099942
150,NSGA-III,6,0.18181818181818182,49.33302925950129,72518.76268102955,0.35897277546997547,7643893710135.757,0.5696716874830265
150,NSGA-III,7,0.21678321678321677,44.21717593110411,72518.81859212652,0.30142953714461956,7601436551717.523,0.5665075093823057
150,NSGA-III,8,0.22377622377622378,42.822109594645624,72517.99497439605,0.2019149035839162,7470748640870.1,0.5567678131581989
150,NSGA-III,9,0.15384615384615385,46.7694501801885,72516.20872710929,0.8083218760100492,7066937652455.611,0.5266732440920122
150,NSGAII_SDE,0,0.2097902097902098,44.127338731518655,72517.43475015655,0.07692270584069587,7654471709324.768,0.5704600274150964
150,NSGAII_SDE,1,0.11888111888111888,59.7927280781467,72517.50128230508,0.14566744026608666,7696505382023.952,0.5735926446604019
150,NSGAII_SDE,2,0.16783216783216784,50.36409205151883,72517.57535101581,0.7664746051389206,7724668312335.708,0.5756915257599509
150,NSGAII_SDE,3,0.11888111888111888,65.20000518871133,72519.79415658886,0.15602211720743084,7972019250951.001,0.5941256945154164
150,NSGAII_SDE,4,0.15384615384615385,57.12374092955088,72518.45800223977,0.30262986401552616,8259710570125.585,0.6155662855915438
150,NSGAII_SDE,5,0.11888111888111888,63.32898957075654,72518.42962101504,0.6554358060337809,8048364907620.577,0.5998154595378273
150,NSGAII_SDE,6,0.18181818181818182,46.6038716704942,72516.56739943239,0.9300755561047016,7520576200492.071,0.5604812805413691
150,NSGAII_SDE,7,0.09090909090909091,65.62130427056626,72517.97134765703,1.2149874027590382,7347507041673.316,0.5475830635469576
150,NSGAII_SDE,8,0.11188811188811189,55.44864351468716,72517.22306375318,1.3163275134903878,7145505350105.748,0.5325286097733352
150,NSGAII_SDE,9,0.20279720279720279,46.68478418270205,72519.72483264549,0.1593288405021316,7607699693599.413,0.5669742786415473
150,MO-PSO-RI,0,0.08391608391608392,3028.5893833901846,57536.68402160575,296.7638648325163,7761332030129.52,0.5784239397333826
150,MO-PSO-RI,1,0.11888111888111888,949.4555662746124,59054.90009747526,1387.8987007132994,7957442242455.453,0.5930393229169859
150,MO-PSO-RI,2,0.13986013986013987,483.97275409134016,49892.75611545069,4360.377786288976,8246309866620.412,0.6145675797396913
150,MO-PSO-RI,3,0.14685314685314685,395.03664837268326,59404.21296056971,1094.8069739101388,7787438795933.688,0.5803695823462128
150,MO-PSO-RI,4,0.1048951048951049,638.2498997069674,54106.66715023792,7264.328502609337,8008178409347.44,0.5968205055060967
150,MO-PSO-RI,5,0.13286713286713286,1319.3276820844355,52300.12168140619,3223.5619231984338,8299463771206.682,0.6185289475543458
150,MO-PSO-RI,6,0.13286713286713286,325.0832126046191,55758.63987297259,1132.9698617201254,7970229686368.242,0.5939923247546139
150,MO-PSO-RI,7,0.13286713286713286,1568.5359806282722,61140.30682248947,999.9058989875834,7908093015969.881,0.5893615039684126
150,MO-PSO-RI,8,0.13286713286713286,1004.090493525495,60208.64814155025,4847.137310464926,8056886113750.379,0.6004505141395048
150,MO-PSO-RI,9,0.14685314685314685,260.40573745847615,59635.94364890137,2372.6081353412374,7970086557370.795,0.5939816578693071
150,MO_ILCO,0,0.11888111888111888,413.64990813587116,58195.39345790517,7963.021842545702,8431387655621.196,0.628360756407742
150,MO_ILCO,1,0.02097902097902098,97.1058745283987,70174.17246808218,140.81785765075463,8585403394704.422,0.6398389911019459
150,MO_ILCO,2,0.09090909090909091,476.2295348644498,57464.64299807616,9193.26766681741,9009057726222.977,0.6714124125933577
150,MO_ILCO,3,0.1258741258741259,1077.734512407942,62992.76188272595,1082.0991050881596,8618630547811.401,0.6423152903675428
150,MO_ILCO,4,0.14685314685314685,426.5660106328047,65038.932686280605,2010.9843143641067,8640555245030.958,0.643949258569646
150,MO_ILCO,5,0.027972027972027972,626.6946695009013,62504.17191605542,6085.451393995992,9053941700234.896,0.6747574524625556
150,MO_ILCO,6,0.18181818181818182,635.1938264975431,59527.24419384791,1519.3258629146908,8783543185883.971,0.654605631439856
150,MO_ILCO,7,0.09090909090909091,318.8490445781242,67838.00767075979,38.83617137322608,9054736648269.955,0.6748166970577536
150,MO_ILCO,8,0.11188811188811189,280.0253830017455,61943.99116098096,10578.267568201607,8235263963315.759,0.613744368610134
150,MO_ILCO,9,0.0979020979020979,432.9618975277319,67444.73224030717,168.56293806717883,9085572070205.168,0.6771147492696507
150,MO_ILCO_2,0,0.18181818181818182,112.33779009668237,62645.478795949275,7250.448215613928,8175658587716.739,0.6093021960488479
150,MO_ILCO_2,1,0.15384615384615385,256.033123028179,68373.25337086314,414.173607897788,7800111579352.033,0.5813140389528586
150,MO_ILCO_2,2,0.17482517482517482,296.13031910821957,62338.74295251991,2585.107294195828,7901880102378.888,0.5888984780416032
150,MO_ILCO_2,3,0.16083916083916083,256.7081560026119,70059.85279273489,520.4093778205645,7429079647596.8,0.5536623741484644
150,MO_ILCO_2,4,0.13286713286713286,744.4690292610429,62380.01531375618,2574.899717149519,7902753685212.344,0.588963583003258
150,MO_ILCO_2,5,0.04195804195804196,535.2143680739385,62081.53454204795,25012.254610023832,11902881386790.871,0.8870785992919092
150,MO_ILCO_2,6,0.21678321678321677,158.81840861827743,67347.88152924752,148.98353921280693,8319259598741.818,0.6200042588164727
150,MO_ILCO_2,7,0.11888111888111888,106.26475042102676,64318.30795226525,2438.920757990415,9019506304277.178,0.6721911072374293
150,MO_ILCO_2,8,0.21678321678321677,585.8490260321862,66400.36165057796,160.7979168614422,7929004847665.644,0.5909199869748795
150,MO_ILCO_2,9,0.11888111888111888,832.100969448015,66303.48296937648,3868.260715228812,8350312447412.021,0.6223185150547107
150,MO-ALO,0,0.32167832167832167,14579.514067158547,10712.321189253455,1860.5081065538693,12890437975936.852,0.9606776117791958
150,MO-ALO,1,0.32167832167832167,4289.164967025292,4080.61677766883,5636.794431908834,13032835649158.277,0.9712899941426687
150,MO-ALO,2,0.2867132867132867,6877.329606047344,9583.857478885904,2590.903792447084,13236009329992.258,0.9864317920276076
150,MO-ALO,3,0.3146853146853147,13647.930629971102,5507.176658745344,2133.4034918695293,12999766278841.441,0.9688254538564252
150,MO-ALO,4,0.2727272727272727,6312.678363707388,8758.497724162653,623.9442363347117,13125781796321.68,0.978216933541291
150,MO-ALO,5,0.3006993006993007,1389.8657910128668,32650.443574948433,1783.0681733127833,13005246132557.17,0.9692338474882283
150,MO-ALO,6,0.2727272727272727,32153.97204600349,6646.976853702418,3166.952613190338,12977100558679.426,0.9671362599007854
150,MO-ALO,7,0.3076923076923077,7226.475620716291,7963.53121163268,748.4884500405043,13138374977794.81,0.9791554577035338
150,MO-ALO,8,0.2727272727272727,4180.05736734575,13374.980358603261,2117.543512036833,13040596154745.77,0.9718683564906283
150,MO-ALO,9,0.2937062937062937,11942.731616279103,7817.339214223746,10556.669400793007,13039700473460.457,0.9718016046114684
150,MO-SSA,0,0.3356643356643357,1596.3014897656283,18395.458200294277,37538.535699794826,13022846318435.031,0.9705455255373043
150,MO-SSA,1,0.3076923076923077,6225.862605182427,12209.765533891958,8347.419793290554,13068406209174.484,0.973940939029864
150,MO-SSA,2,0.32167832167832167,1094.1328275185995,18220.35870109255,33073.8497817797,13118175482843.988,0.9776500625722958
150,MO-SSA,3,0.2517482517482518,772.3185561021182,35089.760773178576,4216.969298380351,13115507222140.121,0.9774512067750467
150,MO-SSA,4,0.2937062937062937,2031.4409319317763,19925.004507086753,24970.477875228942,12820015801560.154,0.9554293024181955
150,MO-SSA,5,0.2937062937062937,63973.08979864315,8435.653468689095,33848.88264936346,13263389672066.95,0.9884723496628962
150,MO-SSA,6,0.3146853146853147,3821.7715437561783,9757.28845803974,5760.466973407136,12937854923029.41,0.9642114249495298
150,MO-SSA,7,0.32867132867132864,5278.44567023033,21414.594687058296,10504.017022321508,12693632278831.09,0.9460103966362314
150,MO-SSA,8,0.3356643356643357,1497.3211208571822,17091.77193074212,29383.96037401499,12906972250141.21,0.9619098512954013
150,MO-SSA,9,0.3076923076923077,1859.2599591746193,15424.05075177324,422.0930322423145,13107379197790.86,0.9768454545861057
