epoch,fitness
0,729.8839157142488
1,436.21483329311127
2,376.70968273398256
3,359.73826245227707
4,359.73826245227707
5,359.73826245227707
6,359.52268033061586
7,359.1906843367387
8,359.1906843367387
9,359.1906843367387
10,359.1906843367387
11,352.24858579000244
12,352.24858579000244
13,352.24858579000244
14,352.24858579000244
15,352.24858579000244
16,349.7718383281001
17,347.86626167152735
18,347.5483267745125
19,347.5483267745125
20,346.65882466487795
21,346.65882466487795
22,346.65882466487795
23,346.0858830881635
24,346.0858830881635
25,346.07461982143974
26,346.07461982143974
27,345.8506498402447
28,345.8506498402447
29,345.62527908594654
30,345.62527908594654
31,345.62527908594654
32,345.62527908594654
33,345.621690031903
34,345.621690031903
35,345.3126135228541
36,345.3126135228541
37,345.3126135228541
38,345.3126135228541
39,345.25824715655756
40,345.25824715655756
41,345.25824715655756
42,345.2540505223842
43,344.9960963125351
44,344.93059642135967
45,344.5898423358421
46,344.23491462216833
47,344.23491462216833
48,343.5600794833576
49,343.5600794833576
50,343.5600794833576
51,342.248320667399
52,342.248320667399
53,342.248320667399
54,342.248320667399
55,342.12675114503753
56,342.12675114503753
57,342.12675114503753
58,342.12675114503753
59,342.12675114503753
60,342.12675114503753
61,341.85145997646543
62,341.85145997646543
63,341.85145997646543
64,341.85145997646543
65,341.85145997646543
66,341.85145997646543
67,341.85145997646543
68,341.85145997646543
69,341.85145997646543
70,341.85145997646543
71,341.85145997646543
72,341.85145997646543
