epoch,fitness
0,564.9218923214067
1,395.6148159195167
2,281.49981801104065
3,279.2254148224299
4,278.73296466091006
5,278.13332217706386
6,278.13332217706386
7,277.45368041152574
8,277.45368041152574
9,276.7635330540938
10,276.61275165340277
11,276.2271336871896
12,275.0093680494805
13,274.68214351997005
14,274.4763931493246
15,274.0798329298576
16,274.0798329298576
17,274.0798329298576
18,274.0798329298576
19,274.0798329298576
20,274.0798329298576
21,274.0798329298576
22,273.91007370326867
23,273.91007370326867
24,273.91007370326867
25,273.91007370326867
26,273.7318029537081
27,273.66156654264904
