epoch,fitness
0,208.51956180699105
1,205.95452417472495
2,203.88046010733285
3,200.18063122732372
4,200.18063122732372
5,197.8084537916749
6,195.44730457485065
7,192.57683282468642
8,192.38540302077794
9,192.38540302077794
10,192.38540302077794
11,192.38540302077794
12,190.42344385866258
13,189.96037879936102
14,189.96037879936102
15,159.09688987048898
16,153.1514835290309
17,153.1514835290309
18,152.7659352731981
19,152.7659352731981
20,152.7659352731981
21,152.7659352731981
22,152.7659352731981
23,146.43837568398132
24,146.43837568398132
25,144.7641988629267
26,143.47940570530506
27,143.47940570530506
28,143.47940570530506
29,142.1776675343146
30,140.82426230483537
31,138.99307376292347
32,138.99307376292347
33,138.99307376292347
34,138.99307376292347
35,138.99307376292347
36,138.99307376292347
37,138.99307376292347
38,138.99307376292347
39,138.99307376292347
40,137.7333886204255
41,137.7333886204255
42,137.7333886204255
43,137.7333886204255
44,137.7333886204255
45,137.70558589820538
46,137.70558589820538
47,137.70145229078796
48,137.70145229078796
49,137.63121946082398
50,135.82920829351627
51,135.82920829351627
52,135.82920829351627
53,135.82920829351627
54,135.82920829351627
55,135.82920829351627
56,135.82920829351627
57,135.82920829351627
58,135.82920829351627
59,135.82920829351627
60,135.82920829351627
61,135.82920829351627
62,135.82920829351627
63,135.82920829351627
64,135.82920829351627
65,135.82920829351627
66,135.82920829351627
67,135.82920829351627
68,135.82920829351627
69,135.82920829351627
70,135.82920829351627
71,135.82920829351627
72,135.5934813873278
73,135.5934813873278
74,135.5934813873278
75,135.5934813873278
76,135.44702208453347
77,135.44702208453347
78,135.44702208453347
79,135.43877466454717
80,135.43877466454717
81,135.43877466454717
82,135.43877466454717
83,135.43877466454717
84,135.43877466454717
85,133.54694024685082
86,133.54694024685082
87,133.15404117751802
88,133.15404117751802
89,133.15404117751802
90,133.044979307817
91,133.044979307817
92,133.044979307817
93,133.044979307817
94,133.044979307817
95,133.044979307817
96,133.044979307817
97,133.044979307817
98,133.044979307817
