Epoch,FrontSize,ArchiveSize,Time
1,89,39,3.8824169635772705
2,90,40,3.8741977214813232
3,97,47,4.512033700942993
4,97,47,4.3020734786987305
5,100,50,4.750477313995361
6,100,50,4.487445592880249
7,100,50,4.533904075622559
8,100,50,4.449016571044922
9,100,50,3.7458808422088623
10,100,50,4.537457227706909
11,100,50,4.109894752502441
12,100,50,4.4351277351379395
13,100,50,3.690495491027832
14,100,50,4.711317300796509
15,100,50,4.286824703216553
16,100,50,4.569440603256226
17,100,50,4.16121506690979
18,100,50,4.06844425201416
19,100,50,3.921203136444092
20,100,50,3.97902774810791
21,100,50,3.8295059204101562
22,100,50,3.364656925201416
23,100,50,4.4352662563323975
24,100,50,4.219157695770264
25,100,50,4.017717599868774
26,100,50,4.5434582233428955
27,100,50,4.308753967285156
28,100,50,4.001779794692993
29,100,50,4.7227137088775635
30,100,50,4.735925912857056
31,100,50,4.3336286544799805
32,100,50,4.6586363315582275
33,100,50,3.683699607849121
34,100,50,4.7928619384765625
35,100,50,4.552309989929199
36,100,50,4.365268230438232
37,100,50,4.003227710723877
38,100,50,3.912778377532959
39,100,50,4.35497260093689
40,100,50,4.003283977508545
41,100,50,3.882434606552124
42,100,50,3.3766510486602783
43,100,50,3.726065158843994
44,100,50,4.353464841842651
45,100,50,5.263353109359741
46,100,50,4.096421480178833
47,100,50,4.568507671356201
48,100,50,4.229917287826538
49,100,50,4.409461259841919
50,100,50,4.166227579116821
51,100,50,4.0807812213897705
52,100,50,4.40625524520874
53,100,50,4.417450666427612
54,100,50,4.571817398071289
55,100,50,4.121541261672974
56,100,50,3.8152546882629395
57,100,50,4.743158578872681
58,100,50,3.8984766006469727
59,100,50,4.736321449279785
60,100,50,4.571966648101807
61,100,50,4.381240129470825
62,100,50,4.335385799407959
63,100,50,4.1576080322265625
64,100,50,4.934759855270386
65,100,50,4.76214075088501
66,100,50,4.297224044799805
67,100,50,4.156364440917969
68,100,50,4.26979660987854
69,100,50,4.052530765533447
70,100,50,4.02835488319397
71,100,50,4.276073932647705
72,100,50,4.27319598197937
73,100,50,4.434877395629883
74,100,50,4.422977924346924
75,100,50,5.034332275390625
76,100,50,4.448045015335083
77,100,50,4.878712177276611
78,100,50,4.395423412322998
79,100,50,4.9984517097473145
80,100,50,4.939491271972656
81,100,50,4.80460000038147
82,100,50,5.019866704940796
83,100,50,4.616802453994751
84,100,50,4.748810052871704
85,100,50,5.02106237411499
86,100,50,5.013804912567139
87,100,50,5.469167470932007
88,100,50,5.606006145477295
89,100,50,4.883614778518677
90,100,50,4.248254776000977
91,100,50,4.244365215301514
92,100,50,3.7589609622955322
93,100,50,5.027022123336792
94,100,50,4.423953533172607
95,100,50,4.673351526260376
96,100,50,4.096112966537476
97,100,50,4.6521289348602295
98,100,50,5.044833660125732
99,100,50,4.897789001464844
100,100,50,4.241552114486694
101,100,50,4.496243476867676
102,100,50,4.087704658508301
103,100,50,4.289468288421631
104,100,50,4.770542860031128
105,100,50,5.779930114746094
106,100,50,5.0706071853637695
107,100,50,4.921573638916016
108,100,50,4.771156311035156
109,100,50,4.717060327529907
110,100,50,4.717244863510132
111,100,50,4.513577938079834
112,100,50,5.307230234146118
113,100,50,4.635392904281616
114,100,50,4.652209758758545
115,99,49,6.430082559585571
116,99,49,4.1967244148254395
117,99,49,4.514336347579956
118,100,50,4.55737566947937
119,100,50,4.821830749511719
120,100,50,4.405096769332886
121,100,50,3.7249674797058105
122,100,50,5.073868989944458
123,100,50,4.064842224121094
124,100,50,4.6443517208099365
125,100,50,4.600519418716431
126,100,50,4.674724578857422
127,100,50,4.412688493728638
128,100,50,5.689349412918091
129,100,50,5.221303224563599
130,100,50,5.781102657318115
131,100,50,5.321213483810425
132,100,50,5.884023666381836
133,100,50,5.6621010303497314
134,100,50,5.05524468421936
135,100,50,4.38322114944458
136,100,50,4.190380573272705
137,100,50,5.195992469787598
138,100,50,4.359858512878418
139,100,50,4.24739146232605
140,100,50,4.759217739105225
141,100,50,4.69429087638855
142,100,50,5.26607608795166
143,100,50,4.4943578243255615
144,100,50,4.6018524169921875
145,100,50,4.421396732330322
146,100,50,4.812966585159302
147,100,50,4.2005534172058105
148,100,50,4.650135040283203
149,100,50,3.9807629585266113
150,100,50,4.906187057495117
151,100,50,4.8750081062316895
152,100,50,4.902572870254517
153,100,50,4.588403940200806
154,100,50,4.692939281463623
155,100,50,4.585296154022217
156,100,50,3.7612788677215576
157,100,50,4.610468626022339
158,100,50,4.138163089752197
159,100,50,3.960414171218872
160,100,50,3.974817991256714
161,100,50,4.4422385692596436
162,100,50,5.127784729003906
163,100,50,4.58973240852356
164,100,50,4.249069452285767
165,100,50,4.6035315990448
166,100,50,4.226659536361694
166,100,50,751.878246307373
