Epoch,FrontSize,Time
1,23,14.97293210029602
2,31,12.912222385406494
3,34,11.70862889289856
4,35,11.479181289672852
5,30,11.56914472579956
6,30,11.217325687408447
7,21,11.724411964416504
8,27,11.917372226715088
9,27,11.961698055267334
10,30,12.470436573028564
11,23,11.71283507347107
12,16,12.455530881881714
13,19,12.266876697540283
14,30,12.43383502960205
15,11,12.173959970474243
16,25,11.996192216873169
17,21,12.44778823852539
18,25,12.395137786865234
19,19,12.805850267410278
20,21,12.925157308578491
21,16,12.018868446350098
22,16,12.197574377059937
23,12,12.679996252059937
24,18,12.756308317184448
25,16,11.834080934524536
26,9,12.293055295944214
27,21,12.776497602462769
28,15,12.553586721420288
29,17,12.368306875228882
30,11,11.521861791610718
31,17,12.453559875488281
32,15,12.436790943145752
33,25,11.761805057525635
34,21,11.992502450942993
35,28,12.46068263053894
36,28,12.006142139434814
37,16,12.420787811279297
38,14,11.606276035308838
39,21,13.092655658721924
40,23,12.237363338470459
41,21,12.766014814376831
42,12,12.389601469039917
43,16,12.17109990119934
44,7,12.105873107910156
45,18,12.16148853302002
46,24,12.470300436019897
47,20,12.589586973190308
48,17,12.168708324432373
49,21,12.58959150314331
50,26,11.894455432891846
51,16,13.054617881774902
52,21,12.93321681022644
53,18,12.827725410461426
54,15,11.58931827545166
55,11,12.418436765670776
56,17,12.021515130996704
57,6,12.64516806602478
58,18,12.441596746444702
59,15,12.593860149383545
60,16,11.934511184692383
61,24,12.00205683708191
62,28,12.547047853469849
63,17,12.003584146499634
64,28,12.699215173721313
65,18,12.555907249450684
66,16,12.902681589126587
67,20,12.475402593612671
68,17,11.74978756904602
69,17,13.04028868675232
70,18,12.312721490859985
71,15,12.332274198532104
72,12,12.261226892471313
73,15,12.581921339035034
74,12,12.672893762588501
75,17,12.541030406951904
76,10,12.3761568069458
77,15,12.795530557632446
78,8,13.145142555236816
79,16,12.302632808685303
80,21,12.848228693008423
81,14,12.609524011611938
82,13,12.313008308410645
83,25,12.41705846786499
84,17,11.910732984542847
85,19,12.48153805732727
86,29,12.298292636871338
87,19,12.366006851196289
88,23,12.742045879364014
89,19,12.765115022659302
90,11,12.392477750778198
91,17,11.88489031791687
92,11,12.003722429275513
93,16,12.147129535675049
94,18,12.81745958328247
95,14,12.945962190628052
96,11,12.890023708343506
97,11,12.494015455245972
98,17,12.78053593635559
99,16,12.723391056060791
100,17,12.612740278244019
101,18,12.579643964767456
102,10,12.90471076965332
103,12,12.4909508228302
104,21,12.83398985862732
105,23,12.057685375213623
106,18,13.11613416671753
107,18,14.515380382537842
108,19,13.012243032455444
109,23,13.261919736862183
110,19,12.857373237609863
111,15,12.79528260231018
112,11,12.8228600025177
113,14,12.66230821609497
114,14,13.711726903915405
115,15,13.642313957214355
116,26,12.8391695022583
117,13,12.262562990188599
118,18,13.078638792037964
119,23,13.156912803649902
120,23,12.507665395736694
121,22,13.243299961090088
122,13,13.446231603622437
123,26,12.59176254272461
124,14,12.937120199203491
125,21,12.230899810791016
126,25,12.198854207992554
127,16,12.87649655342102
128,20,12.349287986755371
129,19,12.566137075424194
130,11,12.566781997680664
131,14,12.164291381835938
132,19,11.780377388000488
133,21,12.328982830047607
134,17,13.050778150558472
135,16,12.070353031158447
136,28,12.290112733840942
137,24,11.831645965576172
138,13,12.435120344161987
139,16,11.664129734039307
140,18,12.533376932144165
141,20,12.348522186279297
142,11,12.430798053741455
143,15,12.297523260116577
144,15,12.372336149215698
145,25,12.53255319595337
146,22,12.285584449768066
147,23,13.02979040145874
148,15,12.862366676330566
149,18,13.187623739242554
150,26,12.76953673362732
151,22,12.336657762527466
152,17,12.940317392349243
153,16,12.387426376342773
154,21,12.581515073776245
155,19,12.341781616210938
156,18,12.758797407150269
157,15,12.748661041259766
158,17,13.339988231658936
159,17,12.680142164230347
160,10,12.779942989349365
160,10,2004.752735376358
