Epoch,Power,Latency,Cost
0.0,2418.3441285845965,797.450868344888,1435.5886593539212
0.0,976.6400779797267,1953283.2606415625,1132.4887219407499
0.0,1533.285680236404,668701.9125147127,1155.6963454344027
0.0,1101.4809155273829,2089615.0292601564,1090.6380784296982
0.0,977.7891599207475,1609422.9284815327,1139.6456308594122
0.0,965.1218780486098,1632982.9863214886,1202.9564925918364
0.0,1243.0245344634286,811434.1898001999,1133.7763997916882
0.0,1076.9985706515545,842062.0837486781,1153.893813344752
0.0,1028.02088559293,1087444.5351164448,1159.4771512265663
0.0,2640.5794649267864,898.7644746703938,1413.7124152493996
0.0,1235.1030859945827,840852.8048334381,1110.6124238905093
0.0,1003.555662425984,1457969.5101997445,1102.9056976300922
0.0,1341.1932681535595,2447452.622573796,1065.1167096703414
0.0,971.5405967155654,1287025.298696328,1163.8205197497955
0.0,955.6997813827961,2487382.2345750746,1106.3555199751704
0.0,1763.454760932568,129446.58903552772,1231.3898596591048
0.0,930.2974997305665,1311428.2316758786,1228.6819355652995
0.0,1039.640640087111,1154283.2968075494,1115.6828053110905
0.0,1032.4508499090741,2584922.743093123,1048.4243160869626
1.0,1582.5161684913508,199203.64023055672,1235.8316592218919
1.0,930.2974997305665,1311428.2316758786,1228.6819355652995
1.0,2418.3441285845965,797.450868344888,1435.5886593539212
1.0,1226.3625321194222,343846.10481931467,1171.249007949671
1.0,1101.4809155273829,2089615.0292601564,1090.6380784296982
1.0,2640.5794649267864,898.7644746703938,1413.7124152493996
1.0,1165.8836172892727,1458219.2835246478,1035.7813147764812
1.0,1763.454760932568,129446.58903552772,1231.3898596591048
1.0,916.5080938688637,1946830.8608606744,1101.7784619195247
1.0,1076.9985706515545,842062.0837486781,1153.893813344752
1.0,952.3864573990763,991450.0524291922,1101.1589207368638
1.0,1162.163912585493,638469.7240187327,1109.1578433676834
1.0,1214.1243725323773,533400.9705461345,1168.7527401108136
1.0,1059.1485035150813,1384297.444752967,1093.3017692875167
1.0,1000.9559923940102,719817.0833279045,1177.6814576171992
1.0,1032.4508499090741,2584922.743093123,1048.4243160869626
2.0,1582.5161684913508,199203.64023055672,1235.8316592218919
2.0,1000.9559923940102,719817.0833279045,1177.6814576171992
2.0,1167.8187738224194,1068942.9877390636,1079.7947669956404
2.0,1226.3625321194222,343846.10481931467,1171.249007949671
2.0,1101.4809155273829,2089615.0292601564,1090.6380784296982
2.0,2420.4066148689462,878.7324502484281,1435.5888496435803
2.0,912.1124851571052,1543466.479395202,1193.2943810885974
2.0,1165.8836172892727,1458219.2835246478,1035.7813147764812
2.0,1642.4439472889965,101918.68263004247,1246.0818106928602
2.0,930.2974997305665,1311428.2316758786,1228.6819355652995
2.0,1154.6106048415902,1000681.4713365416,1089.6027949473682
2.0,1763.454760932568,129446.58903552772,1231.3898596591048
2.0,1979.5463514944877,315957.30436532974,1217.7929740120858
2.0,2153.7757488894545,927.6650108077209,1454.9476914021557
2.0,1962.6932053022879,85253.31976477144,1353.9556788538464
2.0,2232.6190824014575,984.3032935408635,1424.7694387645406
2.0,952.3864573990763,991450.0524291922,1101.1589207368638
2.0,1162.163912585493,638469.7240187327,1109.1578433676834
2.0,1214.1243725323773,533400.9705461345,1168.7527401108136
2.0,1049.2582074370544,1728751.7877503908,1092.054957247995
