Epoch,Power,Latency,Cost
0.0,363.4425660367988,733364.439360857,597.2486164282074
0.0,381.69729574140877,391679.3029684338,678.1361522119648
0.0,407.2050083375012,495226.04551035736,598.3570924251485
0.0,435.3875755593634,354641.1685539996,663.5125863168553
0.0,446.04551097137295,228081.41811630552,669.6302192109114
0.0,440.2734978350692,225912.96276619672,672.4475829583496
0.0,434.4815583391916,266393.9919673935,679.1308269156125
0.0,461.29008134413357,237645.6723511398,619.1252821596804
0.0,433.1740220089384,498121.70368843403,580.3097760351857
0.0,328.5367831515792,412025.4925151999,602.205396384832
0.0,443.13672362472784,281581.1440614314,666.4279535303959
0.0,319.29694026382117,290359.190134007,682.0623368572994
0.0,397.03394010970504,284176.9162721625,673.6698093869472
0.0,364.8770508280887,411395.78351388185,632.8734191382345
1.0,367.26049777140804,309309.0261154257,660.4153402512381
1.0,375.64947514949625,290609.53319887107,670.7471540809219
1.0,401.1750419335917,389289.5457632771,618.2566081522194
1.0,404.6724578858707,272232.7133601337,609.7689348523074
1.0,537.2540309129337,357135.6833962642,600.8768653901997
1.0,348.91968190298655,476684.52598253655,591.5277119808518
1.0,344.99260235881627,255439.52390894963,674.093817211499
1.0,319.79631412422714,616357.1724549186,581.0439704262568
1.0,340.77757787753154,485396.3895542722,618.8003238561436
1.0,391.6679257264647,879093.6943577497,564.1837799678817
1.0,362.8450295085581,309793.90027119085,635.1019131237871
1.0,461.2595344994002,471713.2876662914,586.6708588687013
1.0,370.15080389628935,441557.00606789096,613.9450844138158
2.0,407.13103945255693,420060.2846041404,610.9293878183216
2.0,365.9548493937611,610413.829001701,586.9032452751702
2.0,560.460256590861,299683.89701140416,618.4038738455602
2.0,354.3439183213453,197191.66947619908,645.48657860993
2.0,361.43939769030766,449021.5152910914,611.9177672454827
2.0,414.5924275165806,336247.18027158786,616.606512557347
2.0,407.95644640253533,255440.319615001,631.7733413746718
2.0,435.63781425994,330658.14719511825,596.153866645978
2.0,402.3262914294568,332410.2554596218,638.2560552490945
2.0,377.1334265950842,536491.0647584479,569.2903600114774
2.0,413.77138019757416,504108.8827115035,592.512594775642
2.0,385.68669157075243,420246.1957221354,628.7073988463885
2.0,477.0755091524268,160997.8541416724,631.2875769704692
2.0,314.01370025249406,457885.7636293154,612.1829719477231
