epoch,fitness
0,766945.7474242405
1,151559.17751224196
2,59765.96227853872
3,59765.96227853872
4,57798.32211392389
5,33257.82728144457
6,25188.41363300359
7,22872.098923370082
8,16727.15165996122
9,14818.509857867619
10,14619.24814291279
11,12000.250897625207
12,12000.250897625207
13,9057.767260950579
14,8796.628629425126
15,8796.628629425126
16,6826.608702603637
17,6826.608702603637
18,6826.608702603637
19,4388.641652170657
20,4388.641652170657
21,4388.641652170657
22,1848.2179009904003
23,1758.4614755944795
24,1510.3589210268624
25,1510.3589210268624
26,1510.3589210268624
27,1510.3589210268624
28,1510.3589210268624
29,1337.3858030807444
30,1337.3858030807444
31,1337.3858030807444
32,1243.005071897043
33,1152.0980213252951
34,1152.0980213252951
35,1152.0980213252951
36,1152.0980213252951
37,1152.0980213252951
38,1152.0980213252951
39,1152.0980213252951
40,1152.0980213252951
41,1152.0980213252951
42,1152.0980213252951
43,1144.2267823801667
44,1130.4489724042862
45,1091.3519210304808
46,1091.3519210304808
47,1091.3519210304808
48,1091.3519210304808
49,1091.3519210304808
50,1091.3519210304808
51,1088.592027305659
52,1088.592027305659
53,1088.592027305659
54,1079.098228547669
55,1079.098228547669
56,1070.2097872723489
57,1070.2097872723489
58,1070.2097872723489
59,1070.2097872723489
60,1064.9447713662594
61,1064.202825031969
62,1064.202825031969
63,1064.202825031969
64,1064.202825031969
65,1064.202825031969
66,1064.202825031969
67,1064.202825031969
68,1064.202825031969
69,1063.7584290926295
70,1057.01724458618
71,1056.2635262531237
72,1054.4986051163705
73,1052.8582408382113
74,1051.008286030075
75,1051.008286030075
76,1045.5996943805444
77,1045.5996943805444
78,1045.5996943805444
79,1045.5996943805444
80,1045.5996943805444
81,1045.5996943805444
82,1045.5996943805444
83,1045.5996943805444
84,1045.5996943805444
85,1045.5996943805444
86,1045.5996943805444
87,1043.966539580579
88,1043.5805224685573
89,1043.5805224685573
90,1043.5805224685573
91,1037.0293144670459
92,1037.0293144670459
93,1035.4505241833826
94,1035.2201383636288
95,1035.021174151143
96,1035.021174151143
97,1035.021174151143
98,1035.021174151143
99,1035.021174151143
