Epoch,Power,Latency,Cost
0.0,2050.214642457183,400064.9104770449,1610.5877519508958
0.0,2050.214642457183,400064.9104770449,1610.5877519508958
0.0,2418.475292574469,150968.33021947742,1651.9681977589537
0.0,1614.0609935944628,1367374.3917299192,1500.3299545019995
0.0,2457.65708603146,199327.9354736592,1614.266045796729
0.0,2190.637583616222,377886.151824989,1577.5934589763522
0.0,2799.4903429437713,166259.189497658,1634.5142426648276
0.0,2162.0270557258864,329115.18956733914,1637.8476570642742
0.0,2633.639238236165,235037.9304046089,1612.4273629938812
0.0,1471.9001601162004,2480039.279305155,1488.7918850239882
0.0,2121.2252513262065,454416.014960044,1505.348863586094
0.0,2193.91971018344,253190.7106592148,1556.4526875595081
0.0,1395.0544633091379,2422151.6269210707,1569.7825268638665
0.0,2123.1839689993617,362762.1690649242,1596.6901256108843
0.0,2721.584527140696,210027.59273707995,1613.4362341317535
0.0,1440.1989015465037,2846150.9337067553,1434.63394673452
0.0,2254.912543975358,363826.45054046245,1545.674451685867
1.0,2503.828655092658,61277.564746926284,1704.5920613135347
1.0,2503.828655092658,61277.564746926284,1704.5920613135347
1.0,1467.0746328946418,2495935.048258689,1482.988104175842
1.0,2899.471448550633,50381.43501629274,1667.3984191802283
1.0,2557.755706635677,160876.71879641415,1646.2234748936132
1.0,2178.9298932353645,233436.839479706,1615.1932439092127
1.0,2612.8100191757167,168974.05220263058,1617.2859919264836
1.0,2680.9124346563317,142651.69257910163,1662.6366479211072
1.0,2681.6650779357756,122364.70760752523,1636.8387406904098
1.0,2355.052551621582,276932.2865356427,1583.26948697083
1.0,2230.0072660347305,380561.0953391651,1595.695797711023
1.0,2592.6924440576777,283613.73666743917,1554.0780154429624
1.0,2837.492156504213,119868.20781821702,1682.761826739129
1.0,2843.483288911671,89617.0345598932,1665.1507134299661
1.0,2150.8146977160113,587932.6540414988,1568.493801967349
1.0,2397.189742573638,181099.8854341491,1578.9664005553457
1.0,2266.488744695762,230164.25914975716,1598.5657107888458
1.0,2623.929952538592,15507.818255083892,1688.1482383543996
1.0,2307.25686739249,237713.78199698773,1594.8378047268807
1.0,3005.644433999985,11621.648127300597,1656.078236887055
1.0,2285.4409421870173,177689.1529637566,1642.7919112921036
1.0,2696.64671187086,1317.5267502451454,1727.7191199148858
1.0,2525.6252495840668,129083.90467292706,1665.0908367119937
2.0,2781.693460277281,1433.8176883431986,1851.2694420236246
2.0,2781.693460277281,1433.8176883431986,1851.2694420236246
2.0,3224.3987678598414,1150.3821748433586,1795.4122996367043
2.0,2492.9562837896647,20793.652128289366,1784.9872986622418
2.0,2696.5144998948117,4507.18295331716,1753.6990993974257
2.0,2390.0814187190776,281700.97266887024,1590.8612312005264
2.0,2973.9506890806774,116524.62902766615,1675.9780915836154
2.0,2529.1005306515085,70750.24410518944,1742.4228773575107
2.0,2826.4611064908154,1279.610553314509,1786.2468191591522
2.0,2308.9922788163203,227986.20180290437,1600.4442164623024
2.0,3179.185007788568,971.4986352847972,1833.5737211857122
2.0,3083.0836730690567,1115.951528247344,1826.711779877013
2.0,2525.6252495840668,129083.90467292706,1665.0908367119937
2.0,3050.6264538541145,1247.0909081355785,1828.772408271908
2.0,3063.3480988000347,1288.6457812112953,1765.050306110446
2.0,3005.644433999985,11621.648127300597,1656.078236887055
2.0,2609.1287641896947,86407.41048092992,1716.081870738027
2.0,2605.164689927838,103474.70016777767,1716.0921220317318
2.0,2525.251404576973,162627.26879319575,1674.5607997144887
2.0,2768.651442323658,3468.4272005343914,1728.5655078305535
2.0,2759.9231468082426,167710.71727357997,1664.343113531954
2.0,3142.191496058674,1188.7992816943697,1780.8357316487713
2.0,2928.3774355072933,1011.4969244949117,1829.9128771213689
2.0,2788.424805028953,25032.436766006307,1689.8460258323894
2.0,2618.3582492378214,30696.02736518121,1704.0509772622006
2.0,2788.20988708038,20533.12706981924,1699.5859546019649
2.0,3109.185257092674,1216.942732315269,1822.9918663173169
2.0,3204.2784480621026,1250.7527236929143,1762.8431728681785
2.0,2983.050448967785,10466.266489862008,1717.2251510322787
2.0,2299.303781904336,186943.8711032842,1657.53562169763
2.0,2852.5378157303967,1294.8895625135356,1782.079080212956
2.0,2825.8309291875885,1272.6429298495739,1842.7972708167572
2.0,2906.8295290868614,51027.48993395869,1679.7978498522627
2.0,2385.148006255062,170724.56307837623,1627.9796571905272
2.0,2746.864472218072,10961.493274972272,1742.9482697519104
2.0,3002.8925757352936,2001.471036926891,1751.5311975630298
2.0,2688.548591453014,23144.610420235724,1735.3957813748827
3.0,3094.5378979700254,1128.049552135424,1791.1398958849102
3.0,3094.5378979700254,1128.049552135424,1791.1398958849102
3.0,2698.136123072929,34107.873629653695,1773.7906541296268
3.0,2878.0550789117146,1037.3383033663094,1850.0394566209038
3.0,2936.4005326874135,933.589800079895,1855.5932506353336
3.0,2893.739082575768,78386.88022941533,1680.814801825889
3.0,3089.158936028095,1044.0186551719196,1839.31322108916
3.0,2693.5107481549067,825.0030687563437,1870.5802249742435
3.0,2768.651442323658,3468.4272005343914,1728.5655078305535
3.0,2899.615050642492,1218.259784573614,1765.9816806664576
3.0,2933.5556946422553,1115.2713131547694,1821.693685151634
3.0,3079.538497295984,1436.847683265925,1761.0316023982755
3.0,2609.1287641896947,86407.41048092992,1716.081870738027
3.0,3124.5297760240155,919.8020091677403,1828.9628242226374
3.0,2956.0119985461133,14181.061750077926,1709.962528477253
3.0,2730.0216034790637,18581.63313642946,1778.116975935017
3.0,3163.4911624190436,1152.4305839443205,1754.2225410841354
3.0,2813.285195204685,1171.4799814118624,1812.7139541349247
3.0,3095.099518267513,1205.1226655925268,1769.8408155139625
3.0,3090.474453501853,1204.6968819538147,1790.6218975303916
3.0,2780.9569518740304,151670.7223464926,1665.7292095348125
3.0,2668.2257582357297,999.4348082642077,1960.5037635444871
3.0,2797.6995413112386,1187.8109371714586,1853.168574489529
3.0,2995.0265880854017,15695.213322662832,1703.1713188100555
3.0,2753.9389724684092,9714.202751402903,1727.31959325316
3.0,3100.5770970797944,1117.881974888062,1814.5760527946572
