Epoch,Power,Latency,Cost
0.0,1473.0884309590892,1512420.9558774775,1503.0855264809954
0.0,1345.2613038602642,3379132.343946461,1373.1901282415402
0.0,1343.7432918895477,1957346.2829827047,1520.552138753483
0.0,1367.3821104895069,1874499.1636086705,1431.9423585438778
0.0,1231.9603291865474,2825471.0922966665,1468.163592178029
0.0,1560.5105711571703,1876437.4825702407,1377.5735110066666
0.0,1559.421401475568,2401894.1883456227,1421.5173754913642
0.0,1275.5853674004552,2462236.4202083154,1417.9864242188787
1.0,2028.0311093778053,503890.30922717554,1545.3031150277857
1.0,1430.5957860413262,1934136.39044216,1467.1358999544475
1.0,1343.7432918895477,1957346.2829827047,1520.552138753483
1.0,1560.5105711571703,1876437.4825702407,1377.5735110066666
1.0,1551.7726510505329,2301176.415274819,1434.0206010307409
1.0,1345.2613038602642,3379132.343946461,1373.1901282415402
1.0,1315.2944083637303,3103474.545404182,1410.7390668225835
1.0,1480.7529256816813,2774115.643900637,1384.3300253980349
1.0,1389.6083047968248,2406726.7673366447,1473.1883093051704
1.0,1534.9892587262477,884094.6090457356,1509.514468297473
1.0,1808.1420095833246,900538.7874497336,1485.8343923416433
1.0,1423.5691985322067,1035763.5955520781,1481.9212868333902
1.0,1559.421401475568,2401894.1883456227,1421.5173754913642
1.0,1231.9603291865474,2825471.0922966665,1468.163592178029
1.0,1556.9576243322776,2162426.0456510517,1456.9558057090392
1.0,1275.5853674004552,2462236.4202083154,1417.9864242188787
1.0,1524.1381063376034,1618347.199523859,1476.9652649732634
2.0,1351.32245218958,2363575.2513333247,1495.9833331895054
2.0,1430.5957860413262,1934136.39044216,1467.1358999544475
2.0,1343.7432918895477,1957346.2829827047,1520.552138753483
2.0,1345.2613038602642,3379132.343946461,1373.1901282415402
2.0,1551.7726510505329,2301176.415274819,1434.0206010307409
2.0,1424.7944263113918,998521.3957140113,1480.205946574481
2.0,1536.5812850340342,2696467.7353900117,1451.210516012145
2.0,1480.7529256816813,2774115.643900637,1384.3300253980349
2.0,2468.5297529292784,241998.06186053727,1642.174656221894
2.0,1430.96588430111,2840450.1807350283,1419.1962452040448
2.0,1560.5105711571703,1876437.4825702407,1377.5735110066666
2.0,1808.1420095833246,900538.7874497336,1485.8343923416433
2.0,1396.9568828733845,2488345.6883565346,1451.6433946402503
2.0,1423.5691985322067,1035763.5955520781,1481.9212868333902
