Epoch,FrontSize,Time
1,18,8.140028715133667
2,18,7.935734033584595
3,21,7.615860462188721
4,18,7.802605390548706
5,21,8.139433860778809
6,22,7.906673192977905
7,23,7.959636926651001
8,24,7.612544775009155
9,27,7.3709492683410645
10,24,7.44276762008667
11,25,7.392877817153931
12,28,7.756030321121216
13,28,7.4708733558654785
14,24,7.574073314666748
15,27,7.605419158935547
16,29,7.590879678726196
17,27,7.608522176742554
18,26,7.799223184585571
19,28,7.8332624435424805
20,28,7.9479217529296875
21,26,7.968068599700928
22,23,7.935368061065674
23,22,7.687232971191406
24,22,7.170348882675171
25,32,7.30568265914917
26,25,7.564039707183838
27,26,7.672463417053223
28,23,8.131712913513184
29,21,7.478715896606445
30,22,7.029481649398804
31,23,7.231910467147827
32,23,7.302350044250488
33,24,7.518769979476929
34,27,7.903620958328247
35,26,7.73772931098938
36,23,7.545893430709839
37,23,7.837795734405518
38,22,7.361900806427002
39,21,7.853526830673218
40,24,7.423565626144409
41,20,7.367721080780029
42,21,8.339577674865723
43,21,8.317444801330566
44,24,8.102790355682373
45,22,8.230525016784668
46,21,8.500287771224976
47,18,8.574193954467773
48,16,8.18078088760376
49,15,8.089826107025146
50,22,8.362021684646606
51,16,9.010091781616211
52,22,8.884899139404297
53,22,8.755904197692871
54,21,9.346425771713257
55,14,8.889687299728394
56,14,8.275864124298096
57,12,8.795519351959229
58,13,7.728255748748779
59,12,8.748392820358276
60,13,8.873425483703613
61,11,8.611977100372314
62,12,8.324450254440308
63,15,8.623270034790039
64,18,8.467596292495728
65,14,8.579049587249756
66,19,8.4861900806427
67,18,9.011831045150757
68,17,9.17178225517273
69,14,9.32567024230957
70,14,8.945180654525757
71,14,9.21836805343628
72,13,8.681483745574951
73,19,8.924118518829346
74,13,8.958199739456177
75,13,9.037421941757202
76,12,9.427715063095093
77,13,8.914203882217407
78,16,9.183077812194824
79,9,9.179186344146729
80,9,9.060934782028198
81,12,9.170660495758057
82,10,9.305707693099976
83,10,9.32273006439209
84,8,9.61469030380249
85,7,9.501329898834229
86,10,9.202393293380737
87,11,9.243223190307617
88,11,9.4634108543396
89,14,9.516700506210327
90,10,9.378852128982544
91,10,9.600851058959961
92,11,9.523799180984497
93,12,9.403504848480225
94,8,9.266038656234741
95,8,9.514030694961548
96,6,9.379982948303223
97,5,9.374035358428955
98,5,9.45488953590393
99,4,9.533604621887207
100,9,9.682458639144897
101,10,9.62415075302124
102,14,9.599378824234009
103,14,9.541592597961426
104,15,9.39533257484436
105,11,9.526224613189697
106,13,9.508734226226807
107,10,9.501667737960815
108,8,9.929449081420898
109,10,9.998681545257568
110,6,9.615537881851196
111,12,10.213144063949585
112,7,9.667672872543335
113,7,9.629120826721191
114,6,9.594425201416016
115,7,9.645919561386108
116,22,9.963774919509888
117,13,9.815088033676147
118,15,9.758671760559082
119,16,9.93352746963501
120,18,9.724618911743164
121,17,9.836178064346313
122,15,9.722708225250244
123,16,9.575640439987183
124,17,9.818316459655762
125,15,9.644423961639404
126,13,9.717857837677002
127,15,10.00815200805664
128,16,9.513319253921509
129,12,9.67191219329834
130,11,9.75992465019226
131,13,9.941870212554932
132,13,9.694059610366821
133,11,9.908720016479492
134,16,9.874410629272461
135,14,9.775268793106079
136,17,9.674659490585327
137,12,9.798184871673584
138,15,9.974956035614014
139,17,9.815179109573364
140,6,10.08597183227539
141,6,9.84625244140625
142,6,9.822407722473145
143,7,9.897204399108887
144,8,9.890097618103027
145,6,9.940776348114014
146,10,9.850058555603027
147,8,9.863932609558105
148,9,10.054326057434082
149,14,9.993928670883179
150,14,9.884419441223145
151,13,9.928575992584229
152,14,9.876981258392334
153,8,10.16191053390503
154,10,9.97253966331482
155,6,9.802293300628662
156,9,9.894745826721191
157,11,9.923001050949097
158,14,10.139997482299805
159,14,9.809752225875854
160,9,10.050747632980347
161,9,10.052056074142456
162,10,10.269450664520264
163,7,9.918787717819214
164,7,10.013287782669067
165,7,10.00958514213562
166,9,10.053368091583252
167,10,10.056347131729126
167,10,1504.141363143921
