epoch,fitness
0,926.2850077863071
1,836.7055814098842
2,527.3908604467917
3,486.71182702094114
4,463.5896373803931
5,455.96004163404064
6,455.41801360932857
7,454.8319395538091
8,454.630061364219
9,452.14392516529534
10,451.48550676612604
11,451.303674645408
12,451.303674645408
13,451.303674645408
14,450.29790235083124
15,449.48826135935104
16,449.48826135935104
17,449.48826135935104
18,449.06895362943914
19,449.06895362943914
20,449.06895362943914
21,447.8864573800042
22,446.89105023140814
23,446.89105023140814
24,444.20609718428545
25,443.9015321860625
26,442.599158519788
27,442.0886828347351
28,441.5117393823101
29,441.1916838277777
30,440.3917674133465
31,440.2372843600771
32,438.87367813418007
33,438.64470493170995
34,438.315533259868
35,437.29146831027396
36,437.29146831027396
37,437.1366159956625
38,435.4530454497965
39,434.7833152989713
40,434.2986408571632
41,432.83038464702315
42,432.83038464702315
43,432.83038464702315
44,432.83038464702315
45,432.83038464702315
46,432.45765357946
