0,1,2
50,SHADE,38.67338817492221
50,A-GA,39.49844676618636
50,C-PSO,86.84411679981254
50,HI-WOA,57.81250957488696
50,RW-EO,42.40154102723127
50,I-AEO,51.71909410619126
50,I-LCO,40.315804823567206
50,SSA,84.62621098614727
50,WOA,55.26093008088992
100,SHADE,82.04296710813782
100,A-GA,84.81438971341389
100,C-PSO,217.8787211382005
100,HI-WOA,119.08556763641226
100,RW-EO,91.37056125604799
100,I-AEO,114.7084230465284
100,I-LCO,81.18107584842461
100,SSA,206.75222232237365
100,WOA,142.93187359731186
150,SHADE,127.06757967825828
150,A-GA,145.669394879836
150,C-PSO,348.4959254838443
150,HI-WOA,193.61719361595456
150,RW-EO,154.1816230245239
150,I-AEO,178.54763321056703
150,I-LCO,119.9569615432799
150,SSA,322.8392326544388
150,WOA,226.3045363346897
200,SHADE,163.34343121030156
200,A-GA,216.03892097179505
200,C-PSO,465.44871056960056
200,HI-WOA,246.86812263767177
200,RW-EO,213.26774741755708
200,I-AEO,231.1645849704626
200,I-LCO,152.95448974013408
200,SSA,454.80290189305725
200,WOA,259.0888037216601
250,SHADE,214.89883709281239
250,A-GA,313.2692273710224
250,C-PSO,626.921798834372
250,HI-WOA,315.13495028729153
250,RW-EO,324.77730281555904
250,I-AEO,308.1648507820459
250,I-LCO,197.87465758111222
250,SSA,597.5410152052857
250,WOA,432.05109716318276
300,SHADE,274.6764836767771
300,A-GA,431.18709768511724
300,C-PSO,798.6988835636961
300,HI-WOA,418.33195555967694
300,RW-EO,432.3415468836197
300,I-AEO,386.0014008607569
300,I-LCO,247.66521500191453
300,SSA,766.7175868851851
300,WOA,540.7313649687709
350,SHADE,328.0664398498405
350,A-GA,527.7908248228971
350,C-PSO,938.8307805281744
350,HI-WOA,467.2510645360538
350,RW-EO,535.9602719435819
350,I-AEO,458.2867129903444
350,I-LCO,284.85530547280575
350,SSA,876.4697497511679
350,WOA,636.1237545592478
400,SHADE,388.3620763509273
400,A-GA,613.5387941812121
400,C-PSO,1091.9525763635297
400,HI-WOA,556.6465116208011
400,RW-EO,665.6041571596504
400,I-AEO,517.3525074443818
400,I-LCO,322.4064715564293
400,SSA,1021.0210596514056
400,WOA,674.6824058112946
450,SHADE,447.2653973272175
450,A-GA,686.7744075339116
450,C-PSO,1204.5618310895863
450,HI-WOA,611.6141930480478
450,RW-EO,778.7852664938362
450,I-AEO,582.6651372246356
450,I-LCO,355.4182554327587
450,SSA,1131.2845028597487
450,WOA,789.1633001693649
500,SHADE,519.3887714209702
500,A-GA,806.6530747773647
500,C-PSO,1387.477837795242
500,HI-WOA,718.8125614232832
500,RW-EO,923.1966755872858
500,I-AEO,682.5450420102466
500,I-LCO,406.7150280511013
500,SSA,1289.7866994650767
500,WOA,858.7947782856824
