0,1,2,3,4
50,LCO,37.8369085854547,40.524264948940534,65.09286312679549
50,ILCO-1,33.901899334150656,38.7097088991053,51.928739818862674
50,ILCO-2,33.56090180342987,42.128047778207744,58.78988497690655
50,ILCO-3,33.21577297002669,38.817287813017536,56.1969864105093
100,LCO,90.05156085662388,81.71728787199389,130.30512006712564
100,ILCO-1,87.27254777414397,79.12355245442089,118.25793777411124
100,ILCO-2,88.46348458678453,94.56231074583796,125.47727094840658
100,ILCO-3,88.5066725618938,79.50029641782312,122.38741977401287
150,LCO,139.23508791173177,120.41907309140674,190.32606608740065
150,ILCO-1,133.62391123915657,118.21080238636496,181.41643682783197
150,ILCO-2,134.85802079532436,170.11288482727346,189.61975779727294
150,ILCO-3,132.95275318479736,118.49691297344866,189.00901605400563
200,LCO,195.95298533575706,153.39757591463555,244.5173727955069
200,ILCO-1,180.04960507824507,151.69183593062843,242.33607359976563
200,ILCO-2,180.16845902113525,249.18059098070665,255.027411350853
200,ILCO-3,177.75735463683228,151.7142022594922,248.43045731716091
250,LCO,249.52832203475197,198.21936486760302,313.8910165183321
250,ILCO-1,238.3159920604316,195.87201489444365,314.4560006018138
250,ILCO-2,236.73450850188743,365.2237783988754,340.38413997072377
250,ILCO-3,234.20038766599413,196.33242847047848,319.5174779399661
300,LCO,310.57429374338784,248.19227534779534,390.3878944076592
300,ILCO-1,291.1289364792066,246.09369669946068,396.39974407449165
300,ILCO-2,293.6650539638645,486.43872942987707,429.32546768106266
300,ILCO-3,298.0676264441277,246.23079570419185,405.1764475879506
350,LCO,369.46061103797604,285.3518523086833,449.3674237918136
350,ILCO-1,346.832296058938,283.6733453936804,462.13360311442796
350,ILCO-2,339.16370847564747,602.8247796283533,500.46422462483105
350,ILCO-3,348.44171321307874,283.6719456412477,458.6002251477297
400,LCO,419.06203876813635,322.703183049584,508.43962932130046
400,ILCO-1,409.64950943095374,320.83705888321805,528.5605642777443
400,ILCO-2,411.62923829001977,731.111106183663,560.5510343726462
400,ILCO-3,391.78115536771054,321.35426375897526,512.2724410487656
450,LCO,470.7702196390213,355.76702911334297,562.016337795606
450,ILCO-1,440.82217733747046,354.21790016077136,587.3263280553516
450,ILCO-2,448.875775548396,839.6039229645982,624.4991402679423
450,ILCO-3,473.5489025536925,354.4439260835328,599.2725733293707
500,LCO,558.969873431256,407.12386850601445,639.5090729922125
500,ILCO-1,519.1177545366493,405.3251756813268,679.480282969195
500,ILCO-2,527.8712172277421,937.3390174559984,714.6418856644149
500,ILCO-3,525.8964021425246,405.81328009792685,673.8372142837113
