epoch,fitness
0,1563.9380394598245
1,1335.81535418215
2,1054.2701635598023
3,740.7535266402397
4,725.1455839401368
5,723.7063906081571
6,720.9760458323389
7,716.4168150753231
8,714.8424260656536
9,714.6732105640642
10,713.3555399647081
11,713.3555399647081
12,713.3555399647081
13,713.3555399647081
14,713.3555399647081
15,710.7876489780381
16,710.7876489780381
17,710.3351897361854
18,710.3351897361854
19,709.0254148284457
20,708.4772766058965
21,707.2852821003225
22,704.691595676041
23,704.691595676041
24,704.691595676041
25,703.1265812359738
26,703.1265812359738
27,703.1265812359738
28,703.1265812359738
29,703.1265812359738
30,703.1265812359738
31,703.1265812359738
32,703.1265812359738
33,703.1265812359738
34,703.1265812359738
35,703.1265812359738
36,703.1265812359738
37,703.1265812359738
38,703.1265812359738
39,703.1265812359738
40,703.1265812359738
41,702.3425163532287
