epoch,fitness
0,1059.4459123048914
1,934.9275036423703
2,742.1064020455842
3,600.2318818308895
4,597.996917345884
5,573.6526838292126
6,564.9244695941322
7,560.6327758483923
8,557.6576540569803
9,557.6576540569803
10,557.6576540569803
11,557.6576540569803
12,553.0064947302035
13,548.2097869862345
14,546.3262311795511
15,543.9846579767659
16,543.9846579767659
17,543.5916437864639
18,543.5916437864639
19,542.1140177937536
20,537.2261261732081
21,537.2261261732081
22,535.3039833612837
23,535.3039833612837
24,534.9629069889343
25,531.304078605531
26,531.304078605531
27,531.304078605531
28,531.304078605531
29,530.7383489873248
30,529.8961863818391
31,529.8961863818391
32,529.2957017767069
33,528.5076840108056
34,527.7766059642664
35,527.7766059642664
36,527.7766059642664
37,527.7766059642664
38,527.7766059642664
39,527.4317828756393
40,526.6018597383984
41,526.6018597383984
42,526.2694052095552
43,526.2694052095552
44,525.4953497347885
45,525.4953497347885
46,520.2179943227545
47,520.2179943227545
48,518.5900975519337
49,516.2515700873652
50,516.2515700873652
51,516.2515700873652
52,516.2515700873652
53,515.4641236137264
54,515.4641236137264
55,515.4641236137264
56,512.3107137700065
57,511.6191974670079
58,511.6191974670079
59,511.6191974670079
60,511.6191974670079
61,511.20373703217604
