Epoch,FrontSize,ArchiveSize,Time
1,86,36,13.822757005691528
2,97,47,15.155423641204834
3,100,50,19.282350778579712
4,100,50,15.010520458221436
5,100,50,14.09401822090149
6,100,50,13.297559976577759
7,100,50,17.976470470428467
8,100,50,13.492078304290771
9,100,50,10.108708381652832
10,100,50,14.36483097076416
11,100,50,13.246430397033691
12,100,50,8.906788349151611
13,100,50,13.263468980789185
14,100,50,14.07628345489502
15,100,50,14.803518533706665
16,100,50,13.777993440628052
17,100,50,13.038220405578613
18,100,50,14.385043621063232
19,100,50,13.627494096755981
20,99,49,14.604812145233154
21,100,50,15.541258811950684
22,100,50,11.348835468292236
23,100,50,12.893998861312866
24,100,50,13.898861646652222
25,100,50,16.713717460632324
26,100,50,13.867256164550781
27,100,50,21.281474590301514
28,100,50,20.274752855300903
29,100,50,17.002460956573486
30,100,50,17.82545018196106
31,100,50,14.877196311950684
32,100,50,18.161032676696777
33,100,50,13.985167503356934
34,100,50,11.564525127410889
35,100,50,15.780370950698853
36,100,50,14.600566625595093
37,100,50,13.455634832382202
38,100,50,13.609637975692749
39,100,50,12.506695985794067
40,100,50,18.099860668182373
41,100,50,15.597989320755005
42,100,50,16.404091835021973
43,97,47,17.472294330596924
44,96,46,14.773645401000977
45,97,47,12.144102096557617
46,100,50,16.33981490135193
47,100,50,14.372033834457397
48,100,50,17.193233966827393
49,100,50,15.409320592880249
50,100,50,17.140454053878784
51,100,50,15.391283750534058
52,99,49,17.130516052246094
53,100,50,18.240808486938477
54,100,50,14.627302408218384
55,100,50,17.667486429214478
56,100,50,16.992865562438965
57,100,50,15.71394968032837
58,100,50,14.359233617782593
59,99,49,16.891773223876953
60,99,49,19.24860382080078
61,100,50,18.045408010482788
62,100,50,22.668997526168823
63,100,50,15.899271965026855
64,100,50,17.217989444732666
65,100,50,17.149953365325928
66,100,50,16.51832342147827
67,100,50,16.0552237033844
68,100,50,15.154450416564941
69,100,50,13.432993650436401
70,100,50,15.309983730316162
71,100,50,12.459105014801025
72,100,50,15.770850896835327
73,100,50,10.291444540023804
74,100,50,16.141757488250732
75,100,50,19.62404704093933
76,100,50,18.808844566345215
77,100,50,16.722776889801025
78,100,50,15.501501083374023
79,100,50,17.437589168548584
80,100,50,14.634772062301636
81,100,50,18.352508544921875
82,100,50,16.615453243255615
83,100,50,16.420183897018433
84,100,50,17.709925889968872
85,100,50,21.925590753555298
86,100,50,17.5722074508667
87,100,50,16.193344354629517
88,100,50,15.33822774887085
89,100,50,16.873761415481567
90,100,50,15.195227146148682
91,100,50,13.884574174880981
92,100,50,18.463125228881836
93,100,50,13.093084573745728
94,100,50,16.809988975524902
95,100,50,16.577919721603394
96,98,48,17.406440496444702
97,100,50,14.16788125038147
98,100,50,13.992818117141724
99,100,50,12.690914154052734
100,100,50,17.87424945831299
101,100,50,14.143173694610596
102,100,50,15.620697259902954
103,100,50,17.49969458580017
104,100,50,17.378186464309692
105,100,50,23.060790538787842
106,100,50,20.018797397613525
107,100,50,18.10157322883606
108,100,50,17.409234762191772
109,99,49,18.223694801330566
110,99,49,15.413131713867188
111,100,50,21.198867559432983
112,100,50,19.522665977478027
113,100,50,15.286876678466797
114,100,50,15.328587293624878
115,100,50,17.222787618637085
116,100,50,17.79178023338318
117,100,50,17.33988046646118
118,100,50,20.958332538604736
119,100,50,19.879257678985596
120,100,50,18.528249740600586
121,100,50,14.955891609191895
122,100,50,15.076063871383667
123,100,50,17.52038884162903
124,100,50,15.443462610244751
125,100,50,18.87943720817566
126,100,50,13.60917353630066
127,100,50,17.02097725868225
128,100,50,15.244116067886353
129,100,50,13.824203491210938
130,100,50,14.87296175956726
131,100,50,13.678280353546143
132,100,50,14.87850022315979
133,100,50,19.681556224822998
134,100,50,18.541117429733276
135,100,50,19.172182083129883
136,100,50,14.786980390548706
137,61,11,17.426414728164673
138,63,13,14.267230033874512
139,64,14,14.65518832206726
140,64,14,18.68308997154236
140,64,14,2254.516638994217
