Epoch,FrontSize,Time
1,11,3.394998550415039
2,18,3.1139965057373047
3,13,3.42411732673645
4,10,3.7037620544433594
5,15,3.189894914627075
6,15,3.399411678314209
7,15,3.380335569381714
8,18,3.4994375705718994
9,21,3.625912666320801
10,14,3.247128486633301
11,18,3.149893045425415
12,12,3.4474129676818848
13,14,3.692019462585449
14,14,3.613361120223999
15,17,3.2149956226348877
16,11,3.600541353225708
17,13,3.2924187183380127
18,19,3.546881914138794
19,17,3.3897910118103027
20,10,3.4295356273651123
21,18,3.169865131378174
22,12,3.2791287899017334
23,17,3.2343554496765137
24,18,3.1097068786621094
25,16,3.5881619453430176
26,15,3.7573680877685547
27,17,3.641893148422241
28,12,3.1062850952148438
29,14,3.2045371532440186
30,17,3.815347194671631
31,16,3.39823055267334
32,20,3.250040054321289
33,11,3.5027480125427246
34,25,3.3895986080169678
35,14,3.170576572418213
36,16,3.2262232303619385
37,17,3.304265260696411
38,18,3.0974831581115723
39,13,3.1997811794281006
40,17,3.26116943359375
41,17,3.5574252605438232
42,19,3.3185877799987793
43,19,3.2611758708953857
44,14,3.123668670654297
45,14,3.1496734619140625
46,18,3.0849080085754395
47,19,3.0835182666778564
48,21,3.3670437335968018
49,19,3.0694470405578613
50,18,3.5630550384521484
51,20,3.703111171722412
52,18,3.5302627086639404
53,18,3.326113700866699
54,21,3.163266897201538
55,18,3.475006341934204
56,14,3.2804176807403564
57,17,3.2635161876678467
58,18,3.5921144485473633
59,21,3.3058106899261475
60,23,3.0840625762939453
61,25,3.266587018966675
62,20,3.7798523902893066
63,20,3.397777795791626
64,14,3.546962022781372
65,20,3.2384493350982666
66,17,3.308547258377075
67,21,3.411726474761963
68,18,3.4908640384674072
69,23,3.3759355545043945
70,13,3.495213031768799
71,13,3.669018268585205
72,16,3.2168262004852295
73,24,3.770087957382202
74,19,3.2270889282226562
75,13,3.2321360111236572
76,17,3.2076609134674072
77,19,3.1563901901245117
78,11,3.211355447769165
79,21,3.0741686820983887
80,21,3.216944456100464
81,19,3.1696083545684814
82,21,3.1584205627441406
83,15,3.173583507537842
84,22,3.2413041591644287
85,14,3.5357882976531982
86,24,3.445706844329834
87,30,3.32877779006958
88,23,3.224233627319336
89,17,3.260246515274048
90,15,3.310382843017578
91,16,3.488830327987671
92,21,3.202369213104248
93,24,3.4216465950012207
94,23,3.351165294647217
95,13,3.2008092403411865
96,20,3.2068378925323486
97,22,3.2429747581481934
98,23,3.0260884761810303
99,25,3.2038064002990723
100,16,3.402900457382202
101,24,3.2967803478240967
102,18,3.1234257221221924
103,14,3.3657989501953125
104,17,3.552117347717285
105,22,3.264845848083496
106,17,3.340245246887207
107,19,3.3036274909973145
108,21,3.076572895050049
109,22,3.3003933429718018
110,17,3.1455886363983154
111,23,3.3944954872131348
112,15,3.7067062854766846
113,16,3.081366539001465
114,20,3.104599714279175
115,23,3.0998730659484863
