Epoch,Power,Latency,Cost
0.0,1573.6251515266622,1255135.4312760162,1296.2694588937154
0.0,1719.7776502364356,2162068.685212639,1231.1115904435194
0.0,1479.9047074156545,2870903.5547442157,1211.3854285301495
0.0,1124.4412613156626,3372669.7709057145,1274.2205318605147
0.0,1178.2597435380162,1436683.3200137971,1372.3954045052644
0.0,1368.2242212605026,2419756.0963422447,1260.7697544205682
0.0,1920.932665247542,220791.22341277907,1366.9373444437665
0.0,1334.8462191935614,2500104.3432820234,1269.2789192270918
0.0,1391.9907849790368,2098516.480711131,1264.1568308645415
0.0,1278.1821078785601,2316508.610561112,1311.2343884741401
0.0,1194.7706962910172,2633619.002688249,1273.897264851804
0.0,1328.5488930175052,3619874.3952209437,1223.8408111698361
0.0,2154.963074532261,273125.2967790086,1365.6359943002062
0.0,1567.3580307392147,1277846.1189367694,1287.2690971736602
0.0,2084.186061492005,197399.36600370126,1410.4075821129445
0.0,1826.1494329568982,325535.79052215174,1383.899548624718
0.0,1256.8486101802928,2250044.9659686876,1345.989645651917
0.0,1994.4510373808496,373488.13718113344,1305.2616485079586
0.0,1821.2285026454,346378.0222949138,1432.6126599997867
0.0,2204.78056234468,53446.73026580807,1488.7419761757642
0.0,1334.3673566218506,1542370.6383701034,1286.4685312461074
0.0,2101.8605023866057,319825.5337754409,1333.020422112451
0.0,1276.9238040162015,2320092.83093201,1315.2539782235672
0.0,1897.2726560262881,391509.2794743677,1373.9488840766683
0.0,1975.7261418367304,395240.80929107004,1327.4104382552025
0.0,2281.61249404044,175816.00260179193,1434.3827506584798
0.0,1193.6020838987426,2640874.5955478176,1275.6260377269957
0.0,1195.567413060103,2657319.562629059,1273.5626166444072
0.0,1904.6361010980797,423002.41731956543,1312.8492285664036
0.0,2367.671590896313,276614.60691134306,1361.7483322028643
0.0,1883.0604176077727,304590.5517201283,1406.9757540233895
0.0,2370.6912402428666,119218.0250681577,1392.61448568266
1.0,1124.4412613156626,3372669.7709057145,1274.2205318605147
1.0,1368.2242212605026,2419756.0963422447,1260.7697544205682
1.0,1334.8462191935614,2500104.3432820234,1269.2789192270918
1.0,1278.1821078785601,2316508.610561112,1311.2343884741401
1.0,1821.2285026454,346378.0222949138,1432.6126599997867
1.0,1334.3673566218506,1542370.6383701034,1286.4685312461074
1.0,2046.3967038156436,200638.5012026138,1409.559830885984
1.0,2280.2506538151015,113838.42069852956,1445.5352908383925
1.0,1567.6200880490478,1278859.0633701086,1288.4897667453283
1.0,2164.7798346408954,129058.00740018293,1409.157296125337
1.0,2480.811149775228,27341.992110269373,1498.5108091593506
1.0,1200.695605651465,2631171.2707345523,1274.7090231646
1.0,1916.7985018240206,218507.3051344443,1361.9653285295012
1.0,2636.97380262003,17449.828164595885,1516.3679128151161
1.0,2937.3150537373717,2330.4189223717476,1560.246740074453
1.0,2608.974257580344,30749.50035915823,1454.7044599739345
1.0,1479.9047074156545,2870903.5547442157,1211.3854285301495
1.0,1734.3975345345154,936284.8395390625,1258.332626883157
1.0,1821.2285026454,346378.0222949138,1432.6126599997867
1.0,2463.397291603656,68769.3374274649,1467.6548641769862
1.0,1785.3445916633116,523218.9539595275,1353.438949130815
1.0,2317.0261870720515,69550.21089843911,1447.9495146054398
1.0,1847.9565157079812,446101.8035246014,1380.2884911706146
1.0,1951.9320240281877,200878.10774925313,1467.5165203684342
1.0,2557.7527403645668,20162.879988534132,1510.6524522689313
1.0,2786.34206854949,24149.906976209404,1465.125183174973
1.0,1641.6355335208236,646480.0537469079,1318.6925681262217
1.0,2465.237006357395,7093.480590841276,1527.470601230528
1.0,2232.2682758170527,232389.16841490022,1350.501602611047
1.0,2119.466724480063,279402.27076873154,1345.5223181310546
1.0,2546.3507740100813,22203.351162540323,1504.4603608769423
1.0,1992.676646773657,126768.9635598208,1409.6454431902214
1.0,1563.5514462120034,1374101.9591362358,1287.4215835162759
1.0,1897.2726560262881,391509.2794743677,1373.9488840766683
1.0,1957.3455433399502,545188.3321710457,1291.5163659280215
2.0,1334.8462191935614,2500104.3432820234,1269.2789192270918
