epoch,fitness
0,1220.7053328370405
1,566.1719463388241
2,566.1719463388241
3,566.1719463388241
4,566.1719463388241
5,554.1956516771613
6,553.3202075867083
7,553.3202075867083
8,553.3202075867083
9,552.6563733846136
10,552.6563733846136
11,552.6563733846136
12,552.6563733846136
13,552.415079597204
14,551.7223124516067
15,551.2984839628137
16,550.4946559116557
17,550.4946559116557
18,550.4946559116557
19,550.4946559116557
20,550.4946559116557
21,550.4946559116557
22,550.4946559116557
23,550.4946559116557
24,550.4946559116557
25,550.3842017929617
26,550.3842017929617
27,550.1564885482107
28,550.0324419308971
29,550.0324419308971
30,549.8217734323464
31,549.8217734323464
32,549.8217734323464
33,549.8217734323464
34,549.8217734323464
35,549.8217734323464
36,549.8217734323464
37,549.8217734323464
38,549.8217734323464
39,549.8217734323464
40,549.8217734323464
41,549.8217734323464
42,549.8217734323464
43,549.8217734323464
44,549.8217734323464
45,549.8217734323464
46,549.8217734323464
47,549.8217734323464
48,549.8217734323464
49,549.8217734323464
50,549.8217734323464
51,549.8217734323464
52,549.8217734323464
53,549.8217734323464
54,549.8217734323464
55,549.8217734323464
56,549.8217734323464
57,508.4868266232281
58,508.4868266232281
59,508.4868266232281
60,508.4868266232281
61,508.4868266232281
62,508.4868266232281
63,508.4868266232281
64,508.4868266232281
65,508.4868266232281
66,508.4868266232281
67,508.4868266232281
68,508.4868266232281
69,508.4868266232281
70,508.4868266232281
71,508.4868266232281
72,508.4868266232281
73,508.4868266232281
74,508.4868266232281
75,508.4868266232281
76,508.4868266232281
77,508.4868266232281
78,508.4868266232281
79,508.4868266232281
80,508.4868266232281
81,508.4868266232281
82,508.4868266232281
83,508.4868266232281
84,508.4868266232281
85,508.4868266232281
86,508.4868266232281
87,508.4868266232281
88,508.4868266232281
89,508.4868266232281
90,508.4868266232281
